2026-07-15 23:08:29,659 INFO Кандидатов по селектору Фазы 0: 90
2026-07-15 23:08:29,660 INFO   SA     : 26
2026-07-15 23:08:29,660 INFO   SA_COM : 64
2026-07-15 23:08:29,660 INFO   уже requires_attachment=true (будут пропущены): 0

task_id | course | type    | manual | req_att | stem
   6799 |   1160 | SA_COM  | false  | None    | МИССИЯ 1 «Портфолио». Собери портфолио из своих кейсов трека по единой схеме (проблема, ре
   6800 |   1160 | SA_COM  | false  | None    | МИССИЯ 2 «Позиционирование». Сформулируй, как ты представляешься клиенту одним-двумя предл
   6801 |   1160 | SA_COM  | false  | None    | МИССИЯ 3 «План первого клиента». Выбери специализацию (1–2 паттерна) и составь план выхода
   6915 |   1170 | SA_COM  | false  | None    | МИССИЯ 1 «Хронометраж». Разметь типичный рабочий день по зонам (зелёная — двигает бизнес, 
   6916 |   1170 | SA_COM  | false  | None    | МИССИЯ 2 «ROI». Посчитай стоимость своего часа (доход ÷ рабочие часы) и сколько «съедает» 
   6917 |   1170 | SA_COM  | false  | None    | МИССИЯ 3 «Выбор пути». Реши, идёшь ли ты Путём А (для себя) или Путём Б (как услуга), и об
   6928 |   1177 | SA_COM  | false  | None    | МИССИЯ 1 «Соберите ассистента». В n8n соедините цепочку: Telegram Trigger → Claude → Teleg
   6929 |   1177 | SA_COM  | false  | None    | МИССИЯ 2 «Системный промпт». Напишите системный промпт ассистента из четырёх частей (роль,
   6930 |   1177 | SA_COM  | false  | None    | МИССИЯ 3 «Первый разговор». Задайте ассистенту 5 тестовых вопросов (по делу, вне темы, на 
   7006 |   1188 | SA_COM  | false  | None    | МИССИЯ 1 «Утренний брифинг». Настройте цепочку Расписание → Календарь → Claude → Telegram,
   7007 |   1188 | SA_COM  | false  | None    | МИССИЯ 2 «Резюме почты». Подключите почту на чтение и настройте резюме входящих по светофо
   7008 |   1188 | SA_COM  | false  | None    | МИССИЯ 3 «День руководителя». Соберите сценарий, где ассистент по вопросу сам обращается к
   7020 |   1195 | SA_COM  | false  | None    | МИССИЯ 1 «Доведи промпт». Напиши системный промпт из четырёх блоков и прогони тест из 10 в
   7021 |   1195 | SA_COM  | false  | None    | МИССИЯ 2 «Один сценарий». Собери один рабочий сценарий на выбор: квалификация клиентов ИЛИ
   7022 |   1195 | SA_COM  | false  | None    | МИССИЯ 3 «Безопасность». Добавь в промпт блок «НЕ делать» и определи аварийный выключатель
   7032 |   1201 | SA_COM  | false  | None    | МИССИЯ 1 «Кейс». Собери карточку кейса своего ассистента: было → стало → цифры (сколько ча
   7033 |   1201 | SA_COM  | false  | None    | МИССИЯ 2 «Оффер пилота». Сформулируй предложение первому клиенту (или внутреннему заказчик
   7034 |   1201 | SA_COM  | false  | None    | МИССИЯ 3 «Цена». Посчитай цену услуги по модели «разовая настройка + абонплата», заложив в
   7047 |   1208 | SA_COM  | false  | None    | МИССИЯ 1 «Хронометраж». Запиши 5 рабочих дней по получасовым блокам, помечая 🟢 стратегия /
   7048 |   1208 | SA_COM  | false  | None    | МИССИЯ 2 «Мой ROI». Посчитай стоимость своего часа (доход ÷ 160), умножь на красную зону, 
   7061 |   1214 | SA_COM  | false  | None    | МИССИЯ 1 «Ключ и запрос». Получи ключ Anthropic, пополни баланс на $5–10 и сделай первый з
   7062 |   1214 | SA_COM  | false  | None    | МИССИЯ 2 «Сравни модели». Сделай один и тот же запрос на Haiku и на Sonnet, сравни качеств
   7063 |   1214 | SA_COM  | false  | None    | МИССИЯ 3 «Кэш». Включи кэширование системного промпта (роль или брендбук) и оцени разницу 
   7064 |   1214 | SA_COM  | false  | None    | МИССИЯ 4 «Лимит». Установи месячный лимит расходов в Anthropic Console. Приложи скрин наст
   7080 |   1221 | SA_COM  | false  | None    | МИССИЯ 1 «Брендбук». Напиши промпт-брендбук из 5 блоков (бренд, аудитория, тон, правила, 3
   7081 |   1221 | SA_COM  | false  | None    | МИССИЯ 2 «Копирайтер + Редактор». Собери агента-копирайтера (5 постов) и агента-редактора 
   7082 |   1221 | SA_COM  | false  | None    | МИССИЯ 3 «Адаптер». Настрой агента-адаптера: один пост → 5 площадок. Приложи готовые верси
   7083 |   1221 | SA_COM  | false  | None    | МИССИЯ 4 «Замер». Замерь время: сколько заняло вручную и через конвейер. Приложи сравнение
   7099 |   1228 | SA_COM  | false  | None    | МИССИЯ 1 «Конкуренты». Настрой агента анализа 1–2 конкурентов и получи один отчёт по 5 пун
   7100 |   1228 | SA_COM  | false  | None    | МИССИЯ 2 «Отзывы». Разбери партию из 50+ отзывов через Haiku и собери сводку. Приложи свод
   7101 |   1228 | SA_COM  | false  | None    | МИССИЯ 3 «Отчёт». Собери промпт еженедельного отчёта и прогони на данных за прошлую неделю
   7102 |   1228 | SA_COM  | false  | None    | МИССИЯ 4 «Гипотезы». Сгенерируй 10 гипотез для A/B и отбери 3 приоритетных. Приложи список
   7118 |   1235 | SA_COM  | false  | None    | МИССИЯ 1 «Конвейер». Собери в n8n контент-конвейер (расписание → темы → копирайтер → редак
   7119 |   1235 | SA_COM  | false  | None    | МИССИЯ 2 «Устойчивость». Настрой Error Workflow с уведомлением в Telegram и искусственно с2026-07-15 23:08:29,662 INFO DRY-RUN: записей не было. Для применения — --apply с явным --ids/--ids-file.

   7120 |   1235 | SA_COM  | false  | None    | МИССИЯ 3 «Логи». Включи логирование: последние 7 запусков видны в Google Sheets (время, ко
   7121 |   1235 | SA_COM  | false  | None    | МИССИЯ 4 «Второй пайплайн». Собери ещё один пайплайн из рецептов (мониторинг конкурентов /
   7135 |   1242 | SA_COM  | false  | None    | МИССИЯ 0 «Сквозной проект» (интеграция М3+М4+М5). Собери один рабочий мини-пайплайн, где в
   7136 |   1242 | SA_COM  | false  | None    | МИССИЯ 1 «Продукты». Упакуй 3 продукта по формуле (что / для кого / боль / результат / цен
   7137 |   1242 | SA_COM  | false  | None    | МИССИЯ 2 «Кейс». Собери 1 кейс с цифрами (свой или модельный): было → стало → экономия и о
   7138 |   1242 | SA_COM  | false  | None    | МИССИЯ 3 «Созвоны». Составь список 30 потенциальных клиентов в нише и проведи 3 первых соз
   7141 |   1242 | SA_COM  | false  | None    | МИССИЯ 4 «План роста». Напиши план на 6 месяцев: 1 → 5 клиентов, с целевым доходом. Прилож
